Product,Fiscal Year,Fiscal Month,Fiscal Week Number,Units
Widget,2012,"2012-01-January        ",2012-01,81
Widget,2012,"2012-01-January        ",2012-02,51
Widget,2012,"2012-01-January        ",2012-03,52
Widget,2012,"2012-01-January        ",2012-04,72
Widget,2012,"2012-02-February       ",2012-05,85
Widget,2012,"2012-02-February       ",2012-06,74
Widget,2012,"2012-02-February       ",2012-07,104
Widget,2012,"2012-02-February       ",2012-08,126
Widget,2012,"2012-03-March          ",2012-09,139
Widget,2012,"2012-03-March          ",2012-10,149
Widget,2012,"2012-03-March          ",2012-11,192
Widget,2012,"2012-03-March          ",2012-12,224
Widget,2012,"2012-03-March          ",2012-13,255
Widget,2012,"2012-04-April          ",2012-14,
Widget,2012,"2012-04-April          ",2012-15,209
Widget,2012,"2012-04-April          ",2012-16,262
Widget,2012,"2012-04-April          ",2012-17,217
Widget,2012,"2012-05-May            ",2012-18,247
Widget,2012,"2012-05-May            ",2012-19,231
Widget,2012,"2012-05-May            ",2012-20,247
Widget,2012,"2012-05-May            ",2012-21,226
Widget,2012,"2012-06-June           ",2012-22,236
Widget,2012,"2012-06-June           ",2012-23,250
Widget,2012,"2012-06-June           ",2012-24,482
Widget,2012,"2012-06-June           ",2012-25,303
Widget,2012,"2012-06-June           ",2012-26,222
Widget,2012,"2012-07-July           ",2012-27,208
Widget,2012,"2012-07-July           ",2012-28,
Widget,2012,"2012-07-July           ",2012-29,209
Widget,2012,"2012-07-July           ",2012-30,174
Widget,2012,"2012-08-August         ",2012-31,
Widget,2012,"2012-08-August         ",2012-32,154
Widget,2012,"2012-08-August         ",2012-33,185
Widget,2012,"2012-08-August         ",2012-34,159
Widget,2012,"2012-09-September      ",2012-35,127
Widget,2012,"2012-09-September      ",2012-36,124
Widget,2012,"2012-09-September      ",2012-37,100
Widget,2012,"2012-09-September      ",2012-38,116
Widget,2012,"2012-09-September      ",2012-39,104
Widget,2012,"2012-10-October        ",2012-40,
Widget,2012,"2012-10-October        ",2012-41,101
Widget,2012,"2012-10-October        ",2012-42,71
Widget,2012,"2012-10-October        ",2012-43,53
Widget,2012,"2012-11-November       ",2012-44,61
Widget,2012,"2012-11-November       ",2012-45,55
Widget,2012,"2012-11-November       ",2012-46,48
Widget,2012,"2012-11-November       ",2012-47,91
Widget,2012,"2012-12-December       ",2012-48,75
Widget,2012,"2012-12-December       ",2012-49,167
Widget,2012,"2012-12-December       ",2012-50,261
Widget,2012,"2012-12-December       ",2012-51,512
Widget,2012,"2012-12-December       ",2012-52,258
Widget,2013,"2013-01-January        ",2013-01,95
Widget,2013,"2013-01-January        ",2013-02,50
Widget,2013,"2013-01-January        ",2013-03,60
Widget,2013,"2013-01-January        ",2013-04,65
Widget,2013,"2013-02-February       ",2013-05,93
Widget,2013,"2013-02-February       ",2013-06,126
Widget,2013,"2013-02-February       ",2013-07,129
Widget,2013,"2013-02-February       ",2013-08,90
Widget,2013,"2013-03-March          ",2013-09,103
Widget,2013,"2013-03-March          ",2013-10,101
Widget,2013,"2013-03-March          ",2013-11,124
Widget,2013,"2013-03-March          ",2013-12,120
Widget,2013,"2013-03-March          ",2013-13,166
Widget,2013,"2013-04-April          ",2013-14,152
Widget,2013,"2013-04-April          ",2013-15,
Widget,2013,"2013-04-April          ",2013-16,238
Widget,2013,"2013-04-April          ",2013-17,
Widget,2013,"2013-05-May            ",2013-18,
Widget,2013,"2013-05-May            ",2013-19,
Widget,2013,"2013-05-May            ",2013-20,
Widget,2013,"2013-05-May            ",2013-21,
Widget,2013,"2013-06-June           ",2013-22,
Widget,2013,"2013-06-June           ",2013-23,254
Widget,2013,"2013-06-June           ",2013-24,425
Widget,2013,"2013-06-June           ",2013-25,299
Widget,2013,"2013-06-June           ",2013-26,
Widget,2013,"2013-07-July           ",2013-27,
Widget,2013,"2013-07-July           ",2013-28,160
Widget,2013,"2013-07-July           ",2013-29,163
Widget,2013,"2013-07-July           ",2013-30,
Widget,2013,"2013-08-August         ",2013-31,152
Widget,2013,"2013-08-August         ",2013-32,168
Widget,2013,"2013-08-August         ",2013-33,
Widget,2013,"2013-08-August         ",2013-34,140
Widget,2013,"2013-08-August         ",2013-35,119
Widget,2013,"2013-09-September      ",2013-36,135
Widget,2013,"2013-09-September      ",2013-37,111
Widget,2013,"2013-09-September      ",2013-38,79
Widget,2013,"2013-09-September      ",2013-39,72
Widget,2013,"2013-10-October        ",2013-40,
Widget,2013,"2013-10-October        ",2013-41,67
Widget,2013,"2013-10-October        ",2013-42,61
Widget,2013,"2013-10-October        ",2013-43,50
Widget,2013,"2013-11-November       ",2013-44,41
Widget,2013,"2013-11-November       ",2013-45,44
Widget,2013,"2013-11-November       ",2013-46,
Widget,2013,"2013-11-November       ",2013-47,62
Widget,2013,"2013-11-November       ",2013-48,122
Widget,2013,"2013-12-December       ",2013-49,158
Widget,2013,"2013-12-December       ",2013-50,295
Widget,2013,"2013-12-December       ",2013-51,541
Widget,2013,"2013-12-December       ",2013-52,390
